| № | Дата/время | Температура | Осадки (мм) |
| -- | ------------- | ----------- | ------------ |
| 1 | 2026-05-08T00:00 | 16.4 | 0.0 |
| 2 | 2026-05-08T01:00 | 15.9 | 0.0 |
| 3 | 2026-05-08T02:00 | 15.2 | 0.0 |
| 4 | 2026-05-08T03:00 | 14.3 | 0.0 |
| 5 | 2026-05-08T04:00 | 13.7 | 0.0 |
| 6 | 2026-05-08T05:00 | 13.8 | 0.0 |
| 7 | 2026-05-08T06:00 | 15.2 | 0.0 |
| 8 | 2026-05-08T07:00 | 17.4 | 0.0 |
| 9 | 2026-05-08T08:00 | 19.4 | 0.0 |
| 10 | 2026-05-08T09:00 | 21.3 | 0.0 |
| 11 | 2026-05-08T10:00 | 21.7 | 0.0 |
| 12 | 2026-05-08T11:00 | 21.8 | 0.0 |
| 13 | 2026-05-08T12:00 | 22.2 | 0.0 |
| 14 | 2026-05-08T13:00 | 20.4 | 0.0 |
| 15 | 2026-05-08T14:00 | 20.2 | 0.0 |
| 16 | 2026-05-08T15:00 | 19.2 | 0.0 |
| 17 | 2026-05-08T16:00 | 19.2 | 0.0 |
| 18 | 2026-05-08T17:00 | 18.2 | 0.0 |
| 19 | 2026-05-08T18:00 | 16.8 | 0.0 |
| 20 | 2026-05-08T19:00 | 14.5 | 0.0 |
| 21 | 2026-05-08T20:00 | 12.1 | 0.0 |
| 22 | 2026-05-08T21:00 | 11.2 | 0.0 |
| 23 | 2026-05-08T22:00 | 10.0 | 0.0 |
| 24 | 2026-05-08T23:00 | 8.7 | 0.0 |
